Date,Subject,Message
10/23/2021,"BKLYN, MANH, N Train, Trains Rerouted","Northbound N/R trains are delayed and rerouted while we perform track maintenance near Cortlandt St. Northbound N trains are running on the Q line from DeKalb Av to Canal St. Northbound R trains will end at Court St and turn back around for southbound service. For service to/from skipped stations, take a southbound train."
10/23/2021,"BKLYN, MANH, N Train, Trains Rerouted","Northbound N trains are running on the Q line from DeKalb Av to Canal St while we perform track maintenance near Cortlandt St. For service to/from skipped stations, take a southbound train."
10/23/2021,"BKLYN, MANH, L Train, Boarding Change",Broadway Junction-bound L trains are making stops on the 8 Av-bound platform between 14 St-Union Sq and Bedford Av while we perform temporary track maintenance.
10/22/2021,S Line (Rockaway Park) - Weekday Planned Service Change,"Oct 26 - 29, Tue to Fri, 9:30 AM to 3:45 PM A trains will replace Rockaway Park Shuttle between Broad Channel and Rockaway Park because of track maintenance. Rockaway Park Shuttle will not run. A service will make all stops between Broad Channel and Rockaway Park, every 20 minutes."
10/22/2021,R Line - Weeknight Planned Service Change,"Oct 25 - 29, Mon to Fri, 11:45 PM to 5 AM No R trains between Atlantic Av-Barclays Ctr and Whitehall St because of track maintenance. Take the 4/Manhattan-bound N. R trains will also skip Union St, 9 St, Prospect Av, and 25 St in both directions - Take the D/N. R will run in Brooklyn between 95 St and Atlantic Av-Barclays Ctr, the last stop. Transfer at 36 St D/N/R or Atlantic Av-Barclays Ctr 4/D/N/R."
10/22/2021,Q Line - Weekday Planned Service Change,"Oct 26 - 29, Tue to Fri, 9:45 AM to 3 PM No Q trains between Stillwell Av and Brighton Beach because of track maintenance. Take free shuttle buses. Q trains will run between Brighton Beach and 96 St. To/from Stillwell Av, use the F or N. Free shuttle buses will run between Stillwell Av and Brighton Beach. Transfer between trains and buses at Brighton Beach. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/22/2021,N Line - Weeknight and Weekday Planned Service Changes,"NIGHTS Oct 25 - 29, Mon to Fri, 11:45 PM to 5 AM Coney Island-bound N trains will run via the Q from Canal St to DeKalb Av because of track maintenance. Take the 4 to/from nearby stations. DAYS Oct 26 - 29, Tue to Fri, 9:45 AM to 3:30 PM Brooklyn-bound N trains will skip 30 Av, Broadway, 36 Av, and 39 Av because of track replacement."
10/22/2021,F Line - Weeknight Planned Service Changes,"Oct 25 - 29, Mon to Fri, 9:45 PM to 5 AM Coney Island-bound F trains will not serve 21 St-Queensbridge, Roosevelt Island, Lexington Av/63 St, 57 St, 47-50 Sts-Rockefeller Ctr, 42 St-Bryant Pk, and 34 St-Herald Sq because of FASTRACK. F trains will run via the E after 36 St to W 4 St. For 21 St-Queensbridge, take the Q66/Q69 via transfer at Queens Plaza. For Roosevelt Island, take the Q102 (until 1 AM) via transfer at Queens Plaza. Or, from these stations, take a Jamaica-bound F to Roosevelt Av and transfer to a Manhattan-bound F. For Lexington Av/63 St, take the 6 to/from 59 St via transfer at 51 St-Lexington Av/53 St. Or take the Q via transfer at Times Sq-42 St. For 57 St, use nearby 5 Av/53 St E/F or 7 Av/53 St D/E/F, or 47-50 Sts D. For 47-50 Sts, 42 St-Bryant Pk, and 34 St-Herald Sq, take the D or use E stations along 8 Av. Oct 25 - 29, Mon to Fri, 9:45 PM to 5 AM F trains will not serve 14 St and 23 St in both directions because of FASTRACK. Use E stations along 8 Av, 1 stations along 7 Av, or N/Q/R stations along Broadway. Oct 26 - 29, Tue to Fri, 12:01 AM to 5 AM Jamaica-bound F trains will stop at Elmhurst Av, Grand Av, Woodhaven Blvd, 63 Dr, and 67 Av because of track maintenance."
10/22/2021,E Line - Weeknight Planned Service Change,"Oct 26 - 29, Tue to Fri, beginning 12:01 AM Jamaica-bound E trains will stop at Elmhurst Av, Grand Av, Woodhaven Blvd, 63 Dr, and 67 Av because of track maintenance."
10/22/2021,D Line - Weeknight and Ongoing Planned Service Changes,"Oct 25 - 29, Mon to Fri, 10 PM to 5 AM Uptown D trains will stop at 135 St because of track maintenance. Ongoing, until January 2022 D trains will not run between Bay 50 St and Coney Island-Stillwell Av because of flood protection. F/N trains will continue to serve Stillwell Av. D trains will run between 205 St and Bay 50 St. For Stillwell Av, transfer between D and N at 36 St or 62 St-New Utrecht Av. Free shuttle buses will run between Bay 50 St and Stillwell Av. Transfer between buses and D trains at Bay 50 St. As a reminder, Bay 50 St D station is not accessible. Accessible transfers can be made to/from the N at 62 St-New Utrecht Av. For local travel, the Bay Pkwy D station is the nearest accessible option. Transfer to/from the B82 bus at Bay Pkwy."
10/22/2021,B Line - Weekday Planned Service Change,"Oct 26 - 29, Tue to Fri, 9:45 AM to 3 PM No B trains between Kings Hwy and Brighton Beach because of track maintenance. Take the Q. B trains will run between Kings Hwy and 145 St. Q trains will run between Brighton Beach and 96 St. Transfer between trains at Kings Hwy."
10/22/2021,A Line - Weekday and Ongoing Planned Service Changes,"Oct 26 - 29, Tue to Fri, 9:30 AM to 3:45 PM No A trains between Beach 67 St and Far Rockaway because of track maintenance. Take free shuttle buses. A will run between 207 St and Broad Channel, and via the S to/from Rockaway Park-Beach 116 St, every 20 minutes, replacing the Rockaway Park Shuttle. Free shuttle buses will run between Beach 90 St and Far Rockaway. Transfer between A trains and buses at Beach 90 St. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Oct 25 - 28, Mon to Thu, beginning 10 PM Uptown A trains will stop at 135 St, 155 St, and 163 St because of track maintenance. Ongoing, Mon to Fri, 9 AM to 5:15 PM, until Nov 5, 2021 Downtown A trains will stop at 163 St and 155 St because of flood protection."
10/22/2021,7 Line - Weeknight and Weekday Planned Service Changes,"NIGHTS Oct 25 - 29, Mon to Fri, 11:45 PM to 5 AM No 7 service between 34 St-Hudson Yards and Queensboro Plaza because of track replacement. Take free shuttle buses and E, F, N, S trains. 7 service will run between Main St and Queensboro Plaza. Use the E, F, or N for service between Manhattan and Queens. Use the 6 for service to/from Grand Central. Free shuttle buses will run between Times Sq-42 St and 34 St-Hudson Yards. 42 St shuttle will run overnight. Free shuttle buses will also run between Queensboro Plaza and Vernon Blvd-Jackson Av. Transfer at Queensboro Plaza 7/N/shuttle bus or 74 St-Roosevelt Av 7/E/F, 59 St/Lexington Av 6/N, Lexington Av/53 St 6/E, 34 St-Herald Sq F/N, or Times Sq-42 St N/S/shuttle bus. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. DAYS Oct 25 - 27, Mon to Wed, 10:15 AM to 3 PM Flushing-bound 7 service will skip 82 St, 90 St, 103 St, and 111 St because of track maintenance."
10/22/2021,4 Line - Weekday and Ongoing Planned Service Changes,"NIGHTS Oct 26 - 29, Tue to Fri, 12:01 AM to 5 AM 4 service will run in two sections because of track maintenance: 1. Between Woodlawn and 125 St 2. Between 125 St and New Lots Av Transfer between trains at 125 St to continue your trip. Oct 25 - 29, Mon to Fri, 11:45 PM to 5 AM Manhattan-bound 4 service will skip 138 St-Grand Concourse because of track maintenance. Ongoing, Mon to Fri, through November 2021 Rush hour 4 service will stop at 138 St-Grand Concourse in both directions because of accessibility improvements."
10/22/2021,"MANH, N and Q Trains, Stations Skipped","Northbound N and Q trains are bypassing 49 St while our crews perform track maintenance near Times Sq-42 St. For service to/from 49 St, take a southbound train."
10/21/2021,"BKLYN, M Train, Local to Express","Metropolitan Av-bound M trains are rerouted on the express track from Marcy Av to Myrtle Av while crews are troubleshooting a switch malfunction at Myrtle Av. If your stop is skipped, take a J train."
10/21/2021,"BX, 6 Train, Delays",Northbound 6 trains are running at slow speeds in the Bronx while we work to correct a signal malfunction near Middletown Rd.
10/21/2021,"BX, 4 Train, Delays",4 trains are delayed in both directions while our crews perform track maintenance near 149 St-Grand Concourse.
10/20/2021,"QNS, E and F Trains, Delays",E and F trains are delayed in both directions while our crews perform signal maintenance near Jackson Hts-Roosevelt Av.
10/20/2021,"BKLYN, MANH, B, D, and F Trains, Multiple Impacts",Southbound B D trains are delayed and/or rerouted because of a switch malfunction north of DeKalb Av. The last stop on southbound B trains will be 2 Av on the F line. Southbound D trains are stopping along the F line from W 4 St-Wash Sq to Coney Island-Stillwell Av. Expect delays in F service as they share the track with these rerouted trains.
